STATION_NAME ELEVATION LATITUDE LONGITUDE DATE PRCP SNWD SNOW
-------------------------------------------------- ---------- ---------- ---------- -------- -------- -------- --------
ATHENS 2.5 WSW AL US -87.001584 20231201 -9999
ATHENS 2.5 WSW AL US -87.001584 20231202 -9999
ATHENS 2.5 WSW AL US -87.001584 20231203 -9999
ATHENS 2.5 WSW AL US -87.001584 20231204 -9999
ATHENS 2.5 WSW AL US -87.001584 20231205 -9999
ATHENS 2.5 WSW AL US -87.001584 20231206 -9999
ATHENS 2.5 WSW AL US -87.001584 20231207 -9999
ATHENS 2.5 WSW AL US -87.001584 20231208 -9999
ATHENS 2.5 WSW AL US -87.001584 20231212 0.87
ATHENS 2.5 WSW AL US -87.001584 20231213 -9999
ATHENS 2.5 WSW AL US -87.001584 20231214 -9999
ATHENS 2.5 WSW AL US -87.001584 20231215 -9999
ATHENS 2.5 WSW AL US -87.001584 20231216 -9999
ATHENS 2.5 WSW AL US -87.001584 20231217 -9999
ATHENS 2.5 WSW AL US -87.001584 20231218 -9999
ATHENS 2.5 WSW AL US -87.001584 20231219 -9999
ATHENS 2.5 WSW AL US -87.001584 20231220 -9999
ATHENS 2.5 WSW AL US -87.001584 20231221 -9999
ATHENS 2.5 WSW AL US -87.001584 20231222 -9999
ATHENS 2.5 WSW AL US -87.001584 20231223 -9999
ATHENS 2.5 WSW AL US -87.001584 20231224 -9999
ATHENS 2.5 WSW AL US -87.001584 20231225 -9999
ATHENS 2.5 WSW AL US -87.001584 20231226 -9999
ATHENS 2.5 WSW AL US -87.001584 20231227 -9999
ATHENS 2.5 WSW AL US -87.001584 20231228 -9999
ATHENS 2.5 WSW AL US -87.001584 20231229 -9999
ATHENS 2.5 WSW AL US -87.001584 20231230 -9999
ATHENS 2.5 WSW AL US -87.001584 20231231 -9999
BERRY 3 NW AL US -87.64875 20231202 -9999
BERRY 3 NW AL US -87.64875 20231203 -9999
BERRY 3 NW AL US -87.64875 20231217 -9999
BERRY 3 NW AL US -87.64875 20231225 -9999
BERRY 3 NW AL US -87.64875 20231226 -9999
BERRY 3 NW AL US -87.64875 20231230 -9999
BERRY 3 NW AL US -87.64875 20231231 -9999
ATHENS 5.4 E AL US -86.8642 20231201 -9999
ATHENS 5.4 E AL US -86.8642 20231202 -9999
ATHENS 5.4 E AL US -86.8642 20231203 -9999
ATHENS 5.4 E AL US -86.8642 20231204 -9999
ATHENS 5.4 E AL US -86.8642 20231205 -9999
ATHENS 5.4 E AL US -86.8642 20231206 -9999
ATHENS 5.4 E AL US -86.8642 20231207 -9999
ATHENS 5.4 E AL US -86.8642 20231208 -9999
ATHENS 5.4 E AL US -86.8642 20231209 -9999
ATHENS 5.4 E AL US -86.8642 20231210 -9999
ATHENS 5.4 E AL US -86.8642 20231211 -9999
ATHENS 5.4 E AL US -86.8642 20231212 -9999
ATHENS 5.4 E AL US -86.8642 20231213 -9999
ATHENS 5.4 E AL US -86.8642 20231214 -9999
ATHENS 5.4 E AL US -86.8642 20231215 -9999
ATHENS 5.4 E AL US -86.8642 20231216 -9999
ATHENS 5.4 E AL US -86.8642 20231217 -9999
ATHENS 5.4 E AL US -86.8642 20231218 -9999
ATHENS 5.4 E AL US -86.8642 20231219 -9999
ATHENS 5.4 E AL US -86.8642 20231220 -9999
ATHENS 5.4 E AL US -86.8642 20231221 -9999
ATHENS 5.4 E AL US -86.8642 20231222 -9999
ATHENS 5.4 E AL US -86.8642 20231223 -9999
ATHENS 5.4 E AL US -86.8642 20231224 -9999
ATHENS 5.4 E AL US -86.8642 20231225 -9999
ATHENS 5.4 E AL US -86.8642 20231226 -9999
ATHENS 5.4 E AL US -86.8642 20231227 -9999
ATHENS 5.4 E AL US -86.8642 20231228 -9999
ATHENS 5.4 E AL US -86.8642 20231229 -9999
ATHENS 5.4 E AL US -86.8642 20231230 -9999
ATHENS 5.4 E AL US -86.8642 20231231 -9999
BANKHEAD LOCK AND DAM AL 33.4527 -87.3572 20231201
BANKHEAD LOCK AND DAM AL 33.4527 -87.3572 20231202
BANKHEAD LOCK AND DAM AL 33.4527 -87.3572 20231203
