STATION STATION_NAME ELEVATION LATITUDE LONGITUDE DATE PRCP TMAX TMIN
----------------- -------------------------------------------------- ---------- ---------- ---------- -------- -------- -------- --------
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.22 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.41 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.89 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584  
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.34 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.50 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 1.21 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.03 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US -87.001584 0.00 
GHCND:USC00010748 BERRY 3 NW AL US -87.64875 0.10 
GHCND:USC00010748 BERRY 3 NW AL US -87.64875 0.35 
GHCND:USC00010748 BERRY 3 NW AL US -87.64875 0.10 
GHCND:USC00010748 BERRY 3 NW AL US -87.64875 1.50 
GHCND:USC00010748 BERRY 3 NW AL US -87.64875 0.41 
GHCND:USC00010748 BERRY 3 NW AL US -87.64875 0.05 
GHCND:USC00010748 BERRY 3 NW AL US -87.64875 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.36 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.40 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 1.69 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.22 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.76 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.40 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.55 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.79 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.01 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US -86.8642 0.00 
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.28
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.04
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.20
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.01
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.10
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  1.51
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.08
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  1.21
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.58
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.05
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL 33.4527  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.11
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.05
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.07
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  1.10
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.05
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  1.70
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00012245 DEMOPOLIS LOCK AND DAM AL 32.51936  0.00
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.17 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 1.27 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.72 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.36 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 1.60 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.10 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
GHCND:USC00013575 GUNTERSVILLE NUMBER 2 AL US -86.3294 0.00 
