STATION STATION_NAME ELEVATION LATITUDE LONGITUDE DATE MDPR DAPR 
----------------- -------------------------------------------------- ---------- ---------- ---------- -------- -------- -------- 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:US1ALLS0036 ATHENS 2.5 WSW AL US 217.9 34.775106 
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 
GHCND:USC00010748 BERRY 3 NW AL US 150.3 33.69709 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:US1ALLS0034 ATHENS 5.4 E AL US 219.2 34.78075 
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 
GHCND:USC00010505 BANKHEAD LOCK AND DAM AL US 85.3 
